"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Quantidade produzida (Toneladas)"
"Nível","Cód.","Brasil e Microrregião Geográfica","Ano x Produto das lavouras temporárias"
"Nível","Cód.","Brasil e Microrregião Geográfica","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Nível","Cód.","Brasil e Microrregião Geográfica","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)"
"BR","1","Brasil","16273227","16334516","17751077","19255936","13569401","16306380","20372072","21116908","21842477","18731216","21164138","22018180","20530960","26802769","24748036","26572592","21347774","23624340","30506127","30055633","32487625","36266951","29652791","32948044","29601753","32239479","32321000","41962475","35940832","48327323","41787558","35113312","42661677","52112217","58933347","50719822","55364271","55660235","71072810","80273172","79881614","85283074","64188314","97910658","82366531","101126409","103991747","88461943"
"MI","11001","Porto Velho (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5022","5704","9335","6733","6977","6868","9444","10428","10463","11020","11248","10353","9948","11377","13446","15026","17055","16267","17222","19828","19365","20664","13841","8438","16717","30932","27213","67182","66252","99208","117322","131876"
"MI","11002","Guajará-Mirim (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2411","1891","3525","5031","5472","5592","2543","3326","3392","3786","3874","5223","3999","4917","6284","6390","8955","8460","9213","10025","11965","7633","7576","2828","1987","1690","1105","1123","2505","2283","2894","3322"
"MI","11003","Ariquemes (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12068","12068","12230","28059","32846","26364","13847","13921","16607","13582","13999","12897","13166","14651","19065","18211","16133","16778","17677","19851","21400","15031","11420","7872","14431","17754","16843","16575","13888","23811","17952","76250"
"MI","11004","Ji-Paraná (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","76104","67348","84556","100596","121609","130101","36390","38042","43577","43574","39510","30639","25531","33223","39137","40382","35123","34137","35952","38214","37557","37166","24424","17626","13537","12486","11431","15714","11780","12356","12031","12556"
"MI","11005","Alvorada D'Oeste (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11308","17015","20533","23534","45588","50257","14323","14062","18612","21346","19687","16267","13764","8493","7895","8389","8855","9186","9319","8955","8051","9540","9922","10572","11964","12261","17064","18804","3969","14704","14704","20755"
"MI","11006","Cacoal (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","51982","55607","65920","64327","83773","93280","51305","53681","69264","70205","65462","50486","39330","46085","53908","52041","54113","55586","62248","64194","61092","67234","69345","59257","49275","52324","51448","53818","53368","56921","56921","285587"
"MI","11007","Vilhena (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12223","14374","15387","17362","19752","20948","17064","18126","17339","20383","15986","16668","27916","53388","65665","68333","79256","69413","100690","93326","126978","97877","251295","190118","229160","343554","306850","340723","246644","307546","321071","271290"
"MI","11008","Colorado do Oeste (RO)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","41548","44424","54186","60456","74256","36769","21208","21507","21259","34196","34380","26544","19360","25032","34980","36426","44940","40100","53280","114426","79572","84900","146600","152738","205208","316092","170457","420017","336744","487888","494010","553954"
"MI","12001","Cruzeiro do Sul (AC)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1755","2034","1558","1333","1746","1426","3744","3853","3885","3954","4012","4147","4268","4421","5264","4759","4990","5251","6859","5955","8823","8459","7772","10317","6484","5541","5814","5115","4335","4123","4506","4439"
"MI","12002","Tarauacá (AC)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2559","2571","2601","2308","2055","3828","6605","6672","5731","5731","6674","5131","6511","7616","9683","9683","10179","10456","11619","10080","11380","9432","9410","10252","10470","12223","13331","13701","12625","13035","13115","12874"
"MI","12003","Sena Madureira (AC)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10008","9237","7411","5518","5375","2650","2577","2926","2766","4774","10438","9796","8804","7486","7437","7806","5466","5436","7207","6629","9179","9003","8339","11416","13208","8613","6790","6625","5311","4924","5116","5032"
"MI","12004","Rio Branco (AC)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19569","35377","35380","35787","30496","26102","10635","10880","12773","15417","17577","15967","19776","21937","33214","26296","23197","24541","28119","27949","39954","44504","57764","70726","55206","50827","41936","50198","45400","41940","48457","68522"
"MI","12005","Brasiléia (AC)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19900","14789","14884","16224","19542","21369","5114","5216","7749","8988","9678","10518","12149","9486","12654","12435","12780","11079","7284","6680","11789","10395","13402","21825","19616","17279","14458","13605","12960","11390","12625","15018"
"MI","13001","Rio Negro (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","57","10","64","68","80","39","37","42","35","35","35","35","35","42","497","497","497","152","152","120","117","117","212","4450","4454","129","2","22","14","3","6"
"MI","13002","Japurá (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13","16","14","110","110","100","32","32","32","28","28","28","28","28","33","50","50","100","-","-","300","285","370","187","202","203","60","46","-","-","-","-"
"MI","13003","Alto Solimões (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1945","1846","601","684","746","881","1105","1063","1168","1176","1176","1176","1177","1178","1176","1388","1602","1602","1900","1900","2950","3717","3461","3100","1216","1172","460","187","92","114","263","111"
"MI","13004","Juruá (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","651","822","923","708","704","951","2201","2201","2238","4064","4064","2328","1939","1973","2233","4294","4158","3471","3419","3395","4950","3682","4271","4005","2749","1815","1163","981","2260","1533","1318","1037"
"MI","13005","Tefé (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","51","28","250","271","213","294","192","22","24","309","309","259","259","497","468","993","1070","1129","670","670","650","600","670","137","142","116","253","29","27","22","19","20"
"MI","13006","Coari (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","415","420","300","408","331","382","1130","1110","1147","1843","1843","1358","1358","1358","1361","729","1424","1424","1780","2467","2850","1985","1915","2207","1680","446","70","290","346","340","340","348"
"MI","13007","Manaus (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","206","960","2293","2732","1233","1605","2269","2262","2289","2292","2292","2552","2552","2552","4364","6732","7020","7020","3776","3495","5300","5271","5303","2682","2067","966","2187","2332","743","344","325","280"
"MI","13008","Rio Preto da Eva (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","51","-","90","105","120","7","7","182","175","175","175","213","213","202","90","90","46","280","260","760","370","374","280","290","365","260","250","360","5","-","90"
"MI","13009","Itacoatiara (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","133","257","1483","1017","1057","1110","742","742","782","1089","1579","1721","2741","2753","2809","3873","3323","3335","1900","1878","2400","4550","4405","1587","454","1797","1165","470","455","192","198","178"
"MI","13010","Parintins (AM)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","309","354","438","714","655","346","673","673","681","1448","1714","1140","1140","985","1436","2905","2755","2852","2512","2460","2800","1854","1732","1853","1555","898","582","435","369","360","345","237"
